investor_id,avg_gap_days,max_gap_days,is_at_risk
INV004154,46.72727272727273,90.0,1
INV000612,49.3,169.0,1
INV000676,35.3,106.0,1
INV001673,49.3,181.0,1
INV001753,42.8,128.0,1
INV002712,46.8,174.0,1
INV003650,33.9,86.0,1
INV004289,45.9,201.0,1
INV004410,40.9,138.0,1
INV004427,50.8,125.0,1
INV000069,49.111111111111114,129.0,1
INV000086,44.666666666666664,167.0,1
INV000265,53.44444444444444,140.0,1
INV000399,49.55555555555556,68.0,1
INV000467,56.666666666666664,272.0,1
INV000493,47.55555555555556,201.0,1
INV000665,36.22222222222222,148.0,1
INV000853,49.333333333333336,193.0,1
INV000881,46.111111111111114,155.0,1
INV000977,48.77777777777778,147.0,1
INV001037,42.0,86.0,1
INV001314,50.44444444444444,130.0,1
INV001318,46.22222222222222,150.0,1
INV001406,47.666666666666664,202.0,1
INV001562,44.22222222222222,146.0,1
INV001649,51.666666666666664,120.0,1
INV001759,49.55555555555556,126.0,1
INV002069,47.55555555555556,95.0,1
INV002083,51.666666666666664,193.0,1
INV002304,42.55555555555556,104.0,1
INV002384,39.111111111111114,92.0,1
INV002389,50.77777777777778,126.0,1
INV002422,50.333333333333336,139.0,1
INV002475,49.666666666666664,119.0,1
INV002509,33.666666666666664,74.0,1
INV002552,48.22222222222222,184.0,1
INV002590,50.22222222222222,125.0,1
INV002744,52.888888888888886,139.0,1
INV002847,52.666666666666664,129.0,1
INV003304,44.22222222222222,180.0,1
INV003450,47.666666666666664,158.0,1
INV003495,49.22222222222222,121.0,1
INV003559,48.333333333333336,118.0,1
INV003635,47.111111111111114,95.0,1
INV003655,49.77777777777778,198.0,1
INV003771,50.77777777777778,130.0,1
INV003829,48.55555555555556,159.0,1
INV003892,55.22222222222222,114.0,1
INV003906,55.111111111111114,115.0,1
INV003964,51.22222222222222,130.0,1
INV004004,40.77777777777778,88.0,1
INV004023,52.0,93.0,1
INV004116,54.888888888888886,117.0,1
INV004135,50.111111111111114,164.0,1
INV004241,53.666666666666664,117.0,1
INV004326,40.111111111111114,78.0,1
INV004338,48.888888888888886,209.0,1
INV004737,54.55555555555556,120.0,1
INV004996,46.333333333333336,104.0,1
INV000030,47.625,100.0,1
INV000048,46.0,168.0,1
INV000073,48.25,112.0,1
INV000109,46.25,63.0,1
INV000148,52.0,168.0,1
INV000183,56.125,216.0,1
INV000201,51.125,100.0,1
INV000228,59.75,188.0,1
INV000279,43.375,133.0,1
INV000280,55.75,191.0,1
INV000328,37.5,73.0,1
INV000359,54.125,197.0,1
INV000388,53.625,119.0,1
INV000445,57.75,129.0,1
INV000452,49.375,123.0,1
INV000512,54.75,112.0,1
INV000546,55.0,154.0,1
INV000589,59.125,90.0,1
INV000596,51.75,140.0,1
INV000634,52.25,147.0,1
INV000642,53.5,139.0,1
INV000683,54.5,137.0,1
INV000698,52.25,219.0,1
INV000707,34.375,106.0,1
INV000714,37.0,95.0,1
INV000750,26.5,84.0,1
INV000751,53.0,193.0,1
INV000786,64.125,199.0,1
INV000854,61.25,170.0,1
INV000858,44.875,157.0,1
INV000865,45.75,99.0,1
INV000874,62.125,149.0,1
INV000935,30.875,73.0,1
INV001019,44.875,180.0,1
INV001060,53.375,89.0,1
INV001061,51.125,141.0,1
INV001064,59.5,160.0,1
INV001116,58.125,194.0,1
INV001210,36.875,93.0,1
INV001235,59.0,161.0,1
INV001295,50.75,165.0,1
INV001299,51.25,121.0,1
INV001308,54.625,147.0,1
INV001387,57.25,130.0,1
INV001442,57.125,238.0,1
INV001485,55.0,150.0,1
INV001497,63.0,138.0,1
INV001504,54.25,134.0,1
INV001616,53.0,117.0,1
INV001636,48.875,159.0,1
INV001672,34.0,130.0,1
INV001680,58.875,200.0,1
INV001697,62.5,287.0,1
INV001738,47.5,153.0,1
INV001739,52.5,96.0,1
INV001777,57.625,156.0,1
INV001811,54.25,196.0,1
INV001886,50.75,129.0,1
INV001938,43.0,112.0,1
INV002142,45.5,162.0,1
INV002151,60.375,201.0,1
INV002162,58.375,198.0,1
INV002195,49.25,154.0,1
INV002198,43.0,93.0,1
INV002343,57.75,115.0,1
INV002347,40.5,79.0,1
INV002360,56.125,129.0,1
INV002400,55.375,141.0,1
INV002508,51.625,171.0,1
INV002575,56.125,128.0,1
INV002598,51.375,179.0,1
INV002688,37.0,122.0,1
INV002723,37.75,102.0,1
INV002893,50.0,148.0,1
INV002942,55.5,180.0,1
INV003003,58.25,100.0,1
INV003007,48.25,162.0,1
INV003009,38.125,84.0,1
INV003070,54.5,132.0,1
INV003091,50.875,199.0,1
INV003146,59.5,283.0,1
INV003158,55.625,138.0,1
INV003179,56.25,151.0,1
INV003187,58.25,244.0,1
INV003189,55.125,198.0,1
INV003236,51.125,115.0,1
INV003279,63.375,147.0,1
INV003301,59.375,113.0,1
INV003308,56.75,141.0,1
INV003311,48.0,149.0,1
INV003338,37.5,155.0,1
INV003475,56.0,155.0,1
INV003478,56.625,195.0,1
INV003491,59.125,119.0,1
INV003509,60.875,149.0,1
INV003528,58.625,186.0,1
INV003601,45.25,118.0,1
INV003681,51.0,101.0,1
INV003767,47.5,125.0,1
INV003772,34.5,72.0,1
INV003787,63.25,178.0,1
INV003872,45.375,85.0,1
INV003943,42.5,88.0,1
INV004014,61.875,182.0,1
INV004125,61.625,142.0,1
INV004202,47.625,114.0,1
INV004295,44.75,119.0,1
INV004297,41.875,82.0,1
INV004319,60.5,275.0,1
INV004321,42.0,84.0,1
INV004460,42.5,93.0,1
INV004560,48.375,107.0,1
INV004602,59.625,242.0,1
INV004617,39.25,83.0,1
INV004621,54.25,203.0,1
INV004630,50.625,95.0,1
INV004682,42.25,105.0,1
INV004776,57.375,145.0,1
INV004834,38.625,106.0,1
INV004848,54.125,166.0,1
INV004924,59.75,116.0,1
INV004973,55.0,99.0,1
INV000012,57.0,132.0,1
INV000023,58.57142857142857,115.0,1
INV000033,45.57142857142857,87.0,1
INV000057,49.714285714285715,149.0,1
INV000074,72.57142857142857,191.0,1
INV000091,44.0,105.0,1
INV000101,65.0,197.0,1
INV000102,65.28571428571429,109.0,1
INV000105,57.0,87.0,1
INV000113,46.0,144.0,1
INV000163,61.0,80.0,1
INV000177,65.42857142857143,278.0,1
INV000205,62.57142857142857,193.0,1
INV000210,70.71428571428571,163.0,1
INV000236,67.14285714285714,112.0,1
INV000239,48.857142857142854,105.0,1
INV000260,59.57142857142857,206.0,1
INV000262,53.57142857142857,122.0,1
INV000263,68.42857142857143,271.0,1
INV000289,62.714285714285715,142.0,1
INV000309,52.0,157.0,1
INV000331,50.714285714285715,163.0,1
INV000341,54.42857142857143,191.0,1
INV000371,59.285714285714285,147.0,1
INV000412,43.714285714285715,70.0,1
INV000414,66.28571428571429,233.0,1
INV000428,52.142857142857146,164.0,1
INV000440,69.57142857142857,162.0,1
INV000483,70.42857142857143,252.0,1
INV000556,52.42857142857143,156.0,1
INV000570,67.28571428571429,186.0,1
INV000657,64.71428571428571,106.0,1
INV000662,66.14285714285714,185.0,1
INV000690,56.285714285714285,134.0,1
INV000734,64.0,180.0,1
INV000768,60.0,124.0,1
INV000776,59.42857142857143,116.0,1
INV000778,59.714285714285715,182.0,1
INV000789,55.142857142857146,225.0,1
INV000793,69.14285714285714,149.0,1
INV000827,58.285714285714285,122.0,1
INV000833,67.28571428571429,182.0,1
INV000930,32.42857142857143,118.0,1
INV000939,60.57142857142857,154.0,1
INV000980,44.42857142857143,121.0,1
INV001001,60.285714285714285,137.0,1
INV001023,72.42857142857143,202.0,1
INV001048,47.0,84.0,1
INV001051,54.142857142857146,139.0,1
INV001053,55.857142857142854,116.0,1
INV001063,43.285714285714285,120.0,1
INV001069,41.285714285714285,98.0,1
INV001099,26.142857142857142,63.0,1
INV001117,61.714285714285715,137.0,1
INV001160,57.57142857142857,99.0,1
INV001181,67.42857142857143,163.0,1
INV001195,53.42857142857143,167.0,1
INV001202,58.0,103.0,1
INV001217,60.142857142857146,205.0,1
INV001219,50.857142857142854,118.0,1
INV001234,60.57142857142857,119.0,1
INV001326,69.42857142857143,182.0,1
INV001336,65.85714285714286,198.0,1
INV001383,56.142857142857146,117.0,1
INV001394,63.57142857142857,171.0,1
INV001415,68.14285714285714,173.0,1
INV001423,48.57142857142857,105.0,1
INV001455,64.71428571428571,153.0,1
INV001564,55.714285714285715,157.0,1
INV001605,60.57142857142857,136.0,1
INV001628,51.714285714285715,139.0,1
INV001656,59.857142857142854,246.0,1
INV001694,66.14285714285714,144.0,1
INV001715,68.28571428571429,188.0,1
INV001728,50.57142857142857,131.0,1
INV001757,55.57142857142857,121.0,1
INV001775,29.142857142857142,65.0,1
INV001778,63.57142857142857,283.0,1
INV001804,55.857142857142854,126.0,1
INV001806,60.0,209.0,1
INV001823,58.142857142857146,172.0,1
INV001828,44.42857142857143,91.0,1
INV001853,47.42857142857143,95.0,1
INV001858,55.142857142857146,261.0,1
INV001909,62.142857142857146,121.0,1
INV001921,68.57142857142857,225.0,1
INV001937,60.42857142857143,253.0,1
INV001971,54.714285714285715,87.0,1
INV001972,42.42857142857143,153.0,1
INV001990,45.285714285714285,91.0,1
INV002034,69.0,166.0,1
INV002107,71.14285714285714,298.0,1
INV002111,62.42857142857143,123.0,1
INV002143,63.57142857142857,148.0,1
INV002149,42.285714285714285,215.0,1
INV002178,66.42857142857143,236.0,1
INV002179,54.142857142857146,171.0,1
INV002196,62.142857142857146,115.0,1
INV002202,70.42857142857143,276.0,1
INV002216,61.714285714285715,172.0,1
INV002219,70.85714285714286,166.0,1
INV002230,57.57142857142857,171.0,1
INV002294,48.714285714285715,163.0,1
INV002373,70.14285714285714,154.0,1
INV002401,59.142857142857146,125.0,1
INV002409,55.57142857142857,125.0,1
INV002413,53.0,189.0,1
INV002415,57.42857142857143,110.0,1
INV002445,38.142857142857146,117.0,1
INV002459,53.714285714285715,161.0,1
INV002467,38.857142857142854,116.0,1
INV002490,70.0,125.0,1
INV002497,67.28571428571429,152.0,1
INV002530,71.42857142857143,175.0,1
INV002568,61.57142857142857,144.0,1
INV002572,55.714285714285715,108.0,1
INV002602,66.0,151.0,1
INV002613,65.0,143.0,1
INV002632,65.57142857142857,180.0,1
INV002654,61.857142857142854,115.0,1
INV002673,65.0,147.0,1
INV002675,63.857142857142854,138.0,1
INV002689,50.0,115.0,1
INV002704,59.142857142857146,139.0,1
INV002705,22.571428571428573,70.0,1
INV002711,65.57142857142857,230.0,1
INV002726,45.57142857142857,84.0,1
INV002732,70.71428571428571,151.0,1
INV002733,51.57142857142857,150.0,1
INV002737,58.42857142857143,104.0,1
INV002746,68.0,206.0,1
INV002804,59.857142857142854,209.0,1
INV002810,32.285714285714285,139.0,1
INV002838,56.714285714285715,116.0,1
INV002843,43.142857142857146,128.0,1
INV002891,72.71428571428571,166.0,1
INV002915,49.285714285714285,117.0,1
INV002927,40.285714285714285,79.0,1
INV002945,65.0,139.0,1
INV002950,45.857142857142854,119.0,1
INV003005,53.142857142857146,107.0,1
INV003025,35.285714285714285,65.0,1
INV003036,57.714285714285715,138.0,1
INV003047,70.14285714285714,215.0,1
INV003075,57.42857142857143,128.0,1
INV003082,46.42857142857143,142.0,1
INV003097,62.714285714285715,121.0,1
INV003113,66.85714285714286,159.0,1
INV003117,66.57142857142857,115.0,1
INV003140,57.0,125.0,1
INV003223,67.71428571428571,331.0,1
INV003273,60.142857142857146,134.0,1
INV003277,53.714285714285715,192.0,1
INV003317,44.142857142857146,71.0,1
INV003320,45.285714285714285,192.0,1
INV003352,68.14285714285714,279.0,1
INV003360,59.42857142857143,163.0,1
INV003375,52.714285714285715,158.0,1
INV003393,63.714285714285715,178.0,1
INV003398,55.42857142857143,140.0,1
INV003404,50.285714285714285,198.0,1
INV003405,41.0,186.0,1
INV003406,59.0,251.0,1
INV003407,57.42857142857143,146.0,1
INV003458,67.85714285714286,206.0,1
INV003479,65.71428571428571,164.0,1
INV003511,65.57142857142857,183.0,1
INV003534,52.714285714285715,160.0,1
INV003564,71.0,292.0,1
INV003581,51.285714285714285,95.0,1
INV003586,54.285714285714285,113.0,1
INV003598,68.0,114.0,1
INV003613,67.42857142857143,283.0,1
INV003641,67.0,219.0,1
INV003658,70.71428571428571,143.0,1
INV003670,70.85714285714286,160.0,1
INV003673,68.85714285714286,160.0,1
INV003734,59.0,290.0,1
INV003735,45.857142857142854,104.0,1
INV003748,56.142857142857146,182.0,1
INV003761,51.857142857142854,150.0,1
INV003766,65.28571428571429,192.0,1
INV003780,57.42857142857143,135.0,1
INV003847,50.0,66.0,1
INV003880,68.57142857142857,193.0,1
INV003903,50.285714285714285,130.0,1
INV003913,61.42857142857143,136.0,1
INV003920,66.85714285714286,132.0,1
INV003962,68.71428571428571,302.0,1
INV003975,50.142857142857146,125.0,1
INV003978,68.14285714285714,209.0,1
INV003979,56.0,123.0,1
INV004001,40.285714285714285,123.0,1
INV004009,62.285714285714285,87.0,1
INV004063,56.57142857142857,167.0,1
INV004151,63.142857142857146,197.0,1
INV004153,60.0,125.0,1
INV004172,63.0,196.0,1
INV004175,67.85714285714286,133.0,1
INV004177,45.42857142857143,117.0,1
INV004203,66.57142857142857,113.0,1
INV004239,61.142857142857146,130.0,1
INV004243,55.714285714285715,131.0,1
INV004279,50.285714285714285,116.0,1
INV004281,41.714285714285715,93.0,1
INV004282,52.857142857142854,105.0,1
INV004299,64.14285714285714,175.0,1
INV004332,64.71428571428571,149.0,1
INV004335,64.42857142857143,104.0,1
INV004357,72.42857142857143,305.0,1
INV004358,45.857142857142854,87.0,1
INV004361,61.57142857142857,124.0,1
INV004400,46.57142857142857,104.0,1
INV004401,69.85714285714286,216.0,1
INV004413,69.0,142.0,1
INV004414,53.857142857142854,176.0,1
INV004477,58.714285714285715,180.0,1
INV004504,55.142857142857146,247.0,1
INV004531,60.0,159.0,1
INV004555,53.142857142857146,151.0,1
INV004574,54.57142857142857,116.0,1
INV004579,43.857142857142854,77.0,1
INV004581,72.14285714285714,234.0,1
INV004594,59.142857142857146,122.0,1
INV004607,56.0,214.0,1
INV004608,55.0,96.0,1
INV004629,64.57142857142857,175.0,1
INV004631,64.71428571428571,109.0,1
INV004661,69.71428571428571,181.0,1
INV004712,48.57142857142857,84.0,1
INV004770,72.85714285714286,146.0,1
INV004807,36.857142857142854,86.0,1
INV004843,50.857142857142854,153.0,1
INV004864,43.285714285714285,114.0,1
INV004868,56.0,226.0,1
INV004871,69.14285714285714,170.0,1
INV004891,55.857142857142854,128.0,1
INV004926,66.28571428571429,133.0,1
INV004956,59.142857142857146,155.0,1
INV004974,52.42857142857143,102.0,1
INV004981,49.142857142857146,115.0,1
INV000011,40.166666666666664,125.0,1
INV000013,55.333333333333336,104.0,1
INV000014,75.33333333333333,128.0,1
INV000029,60.666666666666664,96.0,1
INV000081,81.33333333333333,167.0,1
INV000082,83.66666666666667,351.0,1
INV000093,55.5,91.0,1
INV000097,54.5,183.0,1
INV000123,59.666666666666664,142.0,1
INV000131,56.0,123.0,1
INV000155,37.333333333333336,99.0,1
INV000161,73.0,213.0,1
INV000169,67.83333333333333,145.0,1
INV000173,57.666666666666664,165.0,1
INV000175,83.66666666666667,170.0,1
INV000191,56.5,161.0,1
INV000194,58.0,109.0,1
INV000196,69.0,176.0,1
INV000249,45.5,162.0,1
INV000268,62.333333333333336,143.0,1
INV000287,69.83333333333333,301.0,1
INV000292,46.0,95.0,1
INV000293,47.0,91.0,1
INV000304,70.0,204.0,1
INV000310,75.83333333333333,164.0,1
INV000319,73.5,201.0,1
INV000321,72.83333333333333,204.0,1
INV000334,25.5,60.0,1
INV000363,77.0,153.0,1
INV000372,54.5,121.0,1
INV000392,77.16666666666667,205.0,1
INV000395,55.666666666666664,119.0,1
INV000415,66.16666666666667,128.0,1
INV000427,68.5,116.0,1
INV000463,65.16666666666667,181.0,1
INV000466,73.33333333333333,135.0,1
INV000469,70.5,183.0,1
INV000497,71.83333333333333,191.0,1
INV000499,77.83333333333333,157.0,1
INV000507,70.16666666666667,249.0,1
INV000524,55.0,91.0,1
INV000531,47.0,82.0,1
INV000539,77.0,153.0,1
INV000540,73.5,123.0,1
INV000543,83.66666666666667,218.0,1
INV000563,76.33333333333333,198.0,1
INV000566,35.0,119.0,1
INV000573,50.833333333333336,154.0,1
INV000578,66.83333333333333,164.0,1
INV000581,78.33333333333333,160.0,1
INV000586,44.5,111.0,1
INV000591,64.5,112.0,1
INV000599,81.5,171.0,1
INV000607,66.66666666666667,209.0,1
INV000615,55.833333333333336,139.0,1
INV000624,31.666666666666668,53.0,1
INV000630,68.66666666666667,161.0,1
INV000646,62.333333333333336,138.0,1
INV000678,63.333333333333336,140.0,1
INV000701,83.66666666666667,298.0,1
INV000709,65.16666666666667,128.0,1
INV000718,57.833333333333336,118.0,1
INV000719,72.83333333333333,185.0,1
INV000725,67.66666666666667,92.0,1
INV000754,72.33333333333333,103.0,1
INV000759,83.0,156.0,1
INV000761,75.16666666666667,173.0,1
INV000774,73.66666666666667,169.0,1
INV000803,77.16666666666667,147.0,1
INV000822,55.5,141.0,1
INV000823,39.666666666666664,69.0,1
INV000844,66.16666666666667,151.0,1
INV000873,73.5,299.0,1
INV000887,65.66666666666667,268.0,1
INV000888,80.33333333333333,166.0,1
INV000893,59.5,147.0,1
INV000929,58.166666666666664,116.0,1
INV000942,53.0,92.0,1
INV000949,67.5,135.0,1
INV000971,46.833333333333336,139.0,1
INV000974,73.5,143.0,1
INV000986,60.833333333333336,182.0,1
INV001002,41.666666666666664,85.0,1
INV001008,64.66666666666667,191.0,1
INV001021,68.66666666666667,186.0,1
INV001041,83.0,195.0,1
INV001047,66.16666666666667,142.0,1
INV001092,77.33333333333333,186.0,1
INV001102,55.333333333333336,87.0,1
INV001130,76.83333333333333,131.0,1
INV001137,57.0,120.0,1
INV001142,42.833333333333336,106.0,1
INV001163,67.33333333333333,255.0,1
INV001178,79.66666666666667,140.0,1
INV001208,51.833333333333336,107.0,1
INV001220,77.16666666666667,104.0,1
INV001223,70.83333333333333,175.0,1
INV001238,68.5,220.0,1
INV001262,44.833333333333336,116.0,1
INV001274,73.33333333333333,161.0,1
INV001275,66.66666666666667,140.0,1
INV001288,45.666666666666664,148.0,1
INV001298,71.83333333333333,158.0,1
INV001315,51.833333333333336,124.0,1
INV001332,80.0,179.0,1
INV001333,78.66666666666667,185.0,1
INV001348,47.833333333333336,121.0,1
INV001351,70.5,208.0,1
INV001359,72.5,313.0,1
INV001361,50.5,103.0,1
INV001375,78.5,176.0,1
INV001376,78.66666666666667,181.0,1
INV001454,73.0,176.0,1
INV001458,59.833333333333336,101.0,1
INV001510,66.83333333333333,124.0,1
INV001514,51.833333333333336,72.0,1
INV001530,64.66666666666667,122.0,1
INV001532,56.833333333333336,101.0,1
INV001536,69.0,189.0,1
INV001547,72.16666666666667,119.0,1
INV001550,79.0,191.0,1
INV001579,75.0,193.0,1
INV001580,45.666666666666664,119.0,1
INV001587,65.0,144.0,1
INV001597,56.0,165.0,1
INV001603,54.5,93.0,1
INV001606,67.66666666666667,148.0,1
INV001629,67.5,82.0,1
INV001651,78.66666666666667,130.0,1
INV001654,56.0,137.0,1
INV001683,72.5,186.0,1
INV001690,81.16666666666667,114.0,1
INV001711,65.83333333333333,189.0,1
INV001724,69.66666666666667,134.0,1
INV001737,56.833333333333336,191.0,1
INV001744,78.5,155.0,1
INV001752,69.33333333333333,170.0,1
INV001797,79.66666666666667,132.0,1
INV001800,49.666666666666664,132.0,1
INV001802,61.666666666666664,151.0,1
INV001837,62.833333333333336,157.0,1
INV001865,63.5,145.0,1
INV001870,76.0,164.0,1
INV001871,55.0,101.0,1
INV001920,39.0,76.0,1
INV001923,80.66666666666667,106.0,1
INV001924,59.166666666666664,119.0,1
INV001950,60.166666666666664,134.0,1
INV001951,58.833333333333336,124.0,1
INV001986,47.666666666666664,98.0,1
INV001987,67.0,241.0,1
INV002017,44.666666666666664,99.0,1
INV002025,55.833333333333336,92.0,1
INV002033,55.0,123.0,1
INV002052,44.166666666666664,114.0,1
INV002070,81.33333333333333,118.0,1
INV002092,33.5,54.0,1
INV002121,68.5,197.0,1
INV002122,40.333333333333336,97.0,1
INV002134,82.66666666666667,180.0,1
INV002153,67.83333333333333,194.0,1
INV002157,58.5,142.0,1
INV002171,55.833333333333336,150.0,1
INV002177,73.0,330.0,1
INV002182,70.5,148.0,1
INV002186,74.83333333333333,167.0,1
INV002187,67.83333333333333,221.0,1
INV002199,50.833333333333336,94.0,1
INV002206,49.0,141.0,1
INV002208,71.33333333333333,142.0,1
INV002211,63.833333333333336,109.0,1
INV002232,69.16666666666667,174.0,1
INV002236,73.66666666666667,119.0,1
INV002237,51.666666666666664,142.0,1
INV002240,77.83333333333333,266.0,1
INV002241,65.66666666666667,124.0,1
INV002259,45.333333333333336,89.0,1
INV002265,63.166666666666664,244.0,1
INV002277,67.33333333333333,127.0,1
INV002280,71.66666666666667,182.0,1
INV002295,64.5,159.0,1
INV002315,71.83333333333333,174.0,1
INV002319,60.0,123.0,1
INV002329,57.0,183.0,1
INV002357,68.33333333333333,240.0,1
INV002367,52.5,134.0,1
INV002368,61.166666666666664,215.0,1
INV002370,70.16666666666667,237.0,1
INV002402,47.166666666666664,89.0,1
